Accession	Virus Taxonomic ID	Collapse TaxId	Collapse Name
PP157596.1	42789	138951	Enterovirus D
PP157595.1	42789	138951	Enterovirus D
OR460083.1	42789	138951	Enterovirus D
OR230429.1	42789	138951	Enterovirus D
OR230428.1	42789	138951	Enterovirus D
OR230427.1	42789	138951	Enterovirus D
OR230426.1	42789	138951	Enterovirus D
OR230425.1	42789	138951	Enterovirus D
OR230424.1	42789	138951	Enterovirus D
OR230423.1	42789	138951	Enterovirus D
OR230422.1	42789	138951	Enterovirus D
OR230421.1	42789	138951	Enterovirus D
OR230420.1	42789	138951	Enterovirus D
OR230419.1	42789	138951	Enterovirus D
OR230418.1	42789	138951	Enterovirus D
OR230417.1	42789	138951	Enterovirus D
OR230416.1	42789	138951	Enterovirus D
OQ791519.1	42789	138951	Enterovirus D
OQ791518.1	42789	138951	Enterovirus D
OQ451882.1	42789	138951	Enterovirus D
OP572095.1	42789	138951	Enterovirus D
OP572094.1	42789	138951	Enterovirus D
OP572093.1	42789	138951	Enterovirus D
OP572092.1	42789	138951	Enterovirus D
OP572091.1	42789	138951	Enterovirus D
OP572090.1	42789	138951	Enterovirus D
OP572089.1	42789	138951	Enterovirus D
OP572088.1	42789	138951	Enterovirus D
OP572087.1	42789	138951	Enterovirus D
OP572086.1	42789	138951	Enterovirus D
OP572085.1	42789	138951	Enterovirus D
OP572084.1	42789	138951	Enterovirus D
OP572083.1	42789	138951	Enterovirus D
OP572082.1	42789	138951	Enterovirus D
OP572081.1	42789	138951	Enterovirus D
OP572080.1	42789	138951	Enterovirus D
OP572079.1	42789	138951	Enterovirus D
OP572078.1	42789	138951	Enterovirus D
OP572077.1	42789	138951	Enterovirus D
OP572076.1	42789	138951	Enterovirus D
OP572075.1	42789	138951	Enterovirus D
OP572074.1	42789	138951	Enterovirus D
OP572073.1	42789	138951	Enterovirus D
OP572072.1	42789	138951	Enterovirus D
OP572071.1	42789	138951	Enterovirus D
OP572069.1	42789	138951	Enterovirus D
OP572068.1	42789	138951	Enterovirus D
OP572067.1	42789	138951	Enterovirus D
OP572066.1	42789	138951	Enterovirus D
OP572065.1	42789	138951	Enterovirus D
OP572064.1	42789	138951	Enterovirus D
OP572063.1	42789	138951	Enterovirus D
OP572062.1	42789	138951	Enterovirus D
OP572061.1	42789	138951	Enterovirus D
OP572059.1	42789	138951	Enterovirus D
OP572058.1	42789	138951	Enterovirus D
OP572057.1	42789	138951	Enterovirus D
