Virus Taxonomic ID	Collapse TaxId	Collapse Name
1435148	138948	Enterovirus A
185889	147712	Rhinovirus B
185891	147711	Rhinovirus A
2094116	463676	Rhinovirus C
185893	147711	Rhinovirus A
185894	147711	Rhinovirus A
185896	147711	Rhinovirus A
185897	147711	Rhinovirus A
185898	147711	Rhinovirus A
2777131	463676	Rhinovirus C
2777132	463676	Rhinovirus C
185901	147711	Rhinovirus A
45101	138949	Enterovirus B
185902	147711	Rhinovirus A
185900	147712	Rhinovirus B
185905	147711	Rhinovirus A
2777136	147712	Rhinovirus B
185907	147711	Rhinovirus A
185908	147711	Rhinovirus A
185909	147711	Rhinovirus A
185911	147711	Rhinovirus A
2777143	147711	Rhinovirus A
185913	147711	Rhinovirus A
185914	147711	Rhinovirus A
2777147	147711	Rhinovirus A
185916	147711	Rhinovirus A
185912	147711	Rhinovirus A
185918	147711	Rhinovirus A
185919	147711	Rhinovirus A
185920	147711	Rhinovirus A
185921	147711	Rhinovirus A
185923	147711	Rhinovirus A
185924	147711	Rhinovirus A
185925	147711	Rhinovirus A
185926	147712	Rhinovirus B
185928	147711	Rhinovirus A
185934	147711	Rhinovirus A
185935	147711	Rhinovirus A
185936	147712	Rhinovirus B
185937	147711	Rhinovirus A
185938	147712	Rhinovirus B
185939	147711	Rhinovirus A
185941	147711	Rhinovirus A
86107	138948	Enterovirus A
44128	147711	Rhinovirus A
44129	147711	Rhinovirus A
44130	147712	Rhinovirus B
44131	147711	Rhinovirus A
44133	147711	Rhinovirus A
318566	138949	Enterovirus B
318567	138949	Enterovirus B
318568	138949	Enterovirus B
169066	348531	unclassified Rhinovirus
318571	138949	Enterovirus B
2760813	138949	Enterovirus B
2760819	138950	Enterovirus C
1033850	147711	Rhinovirus A
2045067	463676	Rhinovirus C
2045069	463676	Rhinovirus C
39054	138948	Enterovirus A
2045070	463676	Rhinovirus C
2045073	463676	Rhinovirus C
2045074	463676	Rhinovirus C
2045075	463676	Rhinovirus C
2045078	463676	Rhinovirus C
2045079	463676	Rhinovirus C
2555550	463676	Rhinovirus C
1220265	463676	Rhinovirus C
138948	138948	Enterovirus A
138949	138949	Enterovirus B
138950	138950	Enterovirus C
138951	138951	Enterovirus D
1295563	138950	Enterovirus C
82639	138949	Enterovirus B
1219378	463676	Rhinovirus C
147672	147711	Rhinovirus A
147675	147711	Rhinovirus A
147676	147711	Rhinovirus A
147677	147712	Rhinovirus B
147681	147712	Rhinovirus B
147683	147712	Rhinovirus B
147684	147711	Rhinovirus A
147685	147711	Rhinovirus A
147711	147711	Rhinovirus A
147712	147712	Rhinovirus B
42769	138948	Enterovirus A
42771	138948	Enterovirus A
42779	138950	Enterovirus C
12060	138949	Enterovirus B
12062	138949	Enterovirus B
42783	138950	Enterovirus C
42782	138950	Enterovirus C
42785	138948	Enterovirus A
42786	138948	Enterovirus A
12067	138949	Enterovirus B
42787	138948	Enterovirus A
12069	138950	Enterovirus C
42789	138951	Enterovirus D
12071	138949	Enterovirus B
12072	138949	Enterovirus B
12073	138949	Enterovirus B
12074	138949	Enterovirus B
42788	138948	Enterovirus A
12078	138949	Enterovirus B
1418031	463676	Rhinovirus C
12080	138950	Enterovirus C
1219376	463676	Rhinovirus C
1219377	463676	Rhinovirus C
12083	138950	Enterovirus C
1219379	463676	Rhinovirus C
1219381	147711	Rhinovirus A
12086	138950	Enterovirus C
1418033	463676	Rhinovirus C
1219380	463676	Rhinovirus C
12089	138950	Enterovirus C
1418041	463676	Rhinovirus C
1418043	463676	Rhinovirus C
463676	463676	Rhinovirus C
1418042	463676	Rhinovirus C
2015550	138951	Enterovirus D
12090	138951	Enterovirus D
74561	138949	Enterovirus B
325445	138950	Enterovirus C
325446	138949	Enterovirus B
1219404	463676	Rhinovirus C
1219405	463676	Rhinovirus C
1418062	463676	Rhinovirus C
1219407	463676	Rhinovirus C
1219406	463676	Rhinovirus C
861519	138950	Enterovirus C
1219413	463676	Rhinovirus C
2032983	463676	Rhinovirus C
1219416	463676	Rhinovirus C
39767	147711	Rhinovirus A
40280	138949	Enterovirus B
1219419	463676	Rhinovirus C
12130	147711	Rhinovirus A
12131	147712	Rhinovirus B
2035045	463676	Rhinovirus C
12135	147711	Rhinovirus A
41846	138949	Enterovirus B
573824	147711	Rhinovirus A
47501	138949	Enterovirus B
47502	138949	Enterovirus B
47504	138949	Enterovirus B
47506	138949	Enterovirus B
47507	138949	Enterovirus B
47508	138949	Enterovirus B
47509	138949	Enterovirus B
47510	138949	Enterovirus B
47512	138949	Enterovirus B
47513	138949	Enterovirus B
167322	147711	Rhinovirus A
47515	138949	Enterovirus B
47516	138949	Enterovirus B
167324	147711	Rhinovirus A
167325	147712	Rhinovirus B
306588	138948	Enterovirus A
167330	147712	Rhinovirus B
1006008	138948	Enterovirus A
46018	138949	Enterovirus B
1240004	463676	Rhinovirus C
31704	138948	Enterovirus A
31708	147711	Rhinovirus A
33757	138948	Enterovirus A
35293	138949	Enterovirus B
35295	138949	Enterovirus B
35294	138949	Enterovirus B
297248	138948	Enterovirus A
1141754	138951	Enterovirus D
